date_key,source_id,campaign_id,impressions,clicks,spend,conversions,video_views
20230101,1,1,6469,30,10.63,3,2393
20230102,1,1,15807,81,57.04,11,6260
20230103,1,1,13995,83,33.43,5,4992
20230104,1,1,11501,43,13.66,5,4222
20230105,1,1,8093,49,20.65,6,2974
20230106,1,1,6700,43,31.18,5,2541
20230107,1,1,5716,27,10.29,2,1904
20230108,1,1,10077,64,32.85,6,3345
20230109,1,1,6040,33,27.72,3,2498
20230110,1,1,14165,94,65.8,8,5225
20230111,1,1,13590,83,32.57,11,4428
20230112,1,1,11706,78,46.85,7,4464
20230113,1,1,15505,49,39.13,6,6044
20230114,1,1,7898,37,18.14,3,2539
20230115,1,1,7578,50,31.38,5,2890
20230116,1,1,5541,21,8.47,3,2034
20230117,1,1,15867,53,32.49,3,5972
20230118,1,1,11778,45,19.08,5,4874
20230119,1,1,6620,20,10.02,1,3013
20230120,1,1,7561,33,22.72,4,2468
20230121,1,1,4354,24,13.88,2,1791
20230122,1,1,4762,29,9.99,1,1890
20230123,1,1,10105,64,29.59,5,3984
20230124,1,1,10209,38,19.39,3,3384
20230125,1,1,8010,26,10.5,2,3135
20230126,1,1,9584,47,36.78,3,3167
20230127,1,1,15139,83,29.15,10,6925
20230128,1,1,10319,45,17.29,5,3779
20230129,1,1,7627,48,39.01,6,2936
20230130,1,1,8019,51,22.44,4,3250
20230131,1,1,16122,60,32.46,6,5673
20230201,1,1,8435,51,30.81,3,3500
20230202,1,1,14954,79,58.77,11,6510
20230203,1,1,7954,51,44.41,4,3361
20230204,1,1,5850,31,11.39,4,2341
20230205,1,1,6416,29,24.56,4,2657
20230206,1,1,11537,73,61.14,9,4678
20230207,1,1,8666,37,19.28,3,3742
20230208,1,1,8136,47,19.33,4,2663
20230209,1,1,16240,96,30.26,8,5906
20230210,1,1,14414,48,32.38,4,5014
20230211,1,1,5518,35,23.05,3,2378
20230212,1,1,3641,20,6.78,2,1622
20230213,1,1,13028,70,21.73,5,5030
20230214,1,1,12118,68,39.43,9,5598
20230215,1,1,11522,51,29.75,3,4816
20230216,1,1,8451,39,25.46,4,2769
20230217,1,1,7692,27,15.72,2,2477
20230218,1,1,5524,27,17.72,2,2157
20230219,1,1,6892,46,21.28,4,2980
20230220,1,1,5564,30,15.59,2,2089
20230221,1,1,15560,99,64.86,10,6056
20230222,1,1,10444,42,18.23,2,4344
20230223,1,1,5649,19,9.81,1,2270
20230224,1,1,9507,62,51.0,8,3868
20230225,1,1,7475,35,27.16,2,2411
20230226,1,1,5966,35,19.48,3,2298
20230227,1,1,15207,104,34.86,9,5834
20230228,1,1,12884,62,28.13,8,4654
20230301,1,1,10750,53,41.82,3,5045
20230302,1,1,9819,42,19.76,3,4089
20230303,1,1,5976,32,10.27,3,2109
20230304,1,1,4743,14,5.12,1,1716
20230305,1,1,4472,20,14.15,2,1433
20230306,1,1,12899,49,38.66,4,5073
20230307,1,1,8858,39,18.59,3,3454
20230308,1,1,6150,25,11.19,2,2101
20230309,1,1,16276,65,52.75,4,6414
20230310,1,1,10297,61,21.6,3,3871
20230311,1,1,8935,53,16.99,7,3335
20230312,1,1,8273,45,21.24,4,3681
20230313,1,1,10706,33,15.42,1,3600
20230314,1,1,10649,33,25.67,4,4455
20230315,1,1,10824,53,35.67,4,4387
20230316,1,1,14083,69,57.47,6,6645
20230317,1,1,12678,72,50.71,5,4755
20230318,1,1,7460,50,37.67,5,2518
20230319,1,1,6063,35,11.94,2,2413
20230320,1,1,15337,88,53.81,8,5241
20230321,1,1,7393,50,39.8,2,2735
20230322,1,1,6301,36,24.22,2,2185
20230323,1,1,10584,43,19.34,3,4319
20230324,1,1,9224,30,22.98,3,3244
20230325,1,1,10371,38,24.51,5,3873
20230326,1,1,7465,47,22.95,6,3557
20230327,1,1,16170,102,67.93,13,6474
20230328,1,1,8427,32,18.13,3,3010
20230329,1,1,8712,49,22.61,4,3614
20230330,1,1,6483,39,26.84,3,2406
20230331,1,1,14215,78,52.94,10,4888
20230401,1,1,6407,36,25.36,2,2724
20230402,1,1,7586,49,36.98,3,3043
20230403,1,1,12544,80,58.51,11,4584
20230404,1,1,16170,56,20.08,8,5860
20230405,1,1,11133,53,35.5,2,4406
20230406,1,1,8252,40,14.93,3,2754
20230407,1,1,16491,72,43.44,4,7046
20230408,1,1,5893,20,6.76,1,2176
20230409,1,1,9992,55,21.12,3,4160
20230410,1,1,15546,89,72.51,6,5238
20230411,1,1,8202,41,33.85,3,3001
20230412,1,1,15849,99,66.5,14,7324
20230413,1,1,16464,82,72.32,11,6302
20230414,1,1,6981,29,16.23,3,3097
20230415,1,1,7405,46,41.02,4,3232
20230416,1,1,6639,29,23.45,3,2665
20230417,1,1,5970,26,18.01,3,2658
20230418,1,1,12904,89,70.0,11,6068
20230419,1,1,13112,70,40.83,4,6083
20230420,1,1,16035,86,30.07,9,5428
20230421,1,1,9422,39,18.99,5,4008
20230422,1,1,7044,36,13.15,5,3187
20230423,1,1,8262,28,8.9,3,2710
20230424,1,1,10641,46,20.01,6,3869
20230425,1,1,8003,51,42.64,6,3549
20230426,1,1,13202,51,35.61,6,5427
20230427,1,1,16087,95,44.36,6,7176
20230428,1,1,11583,35,17.69,2,4407
20230429,1,1,6064,30,9.69,3,2625
20230430,1,1,5238,31,17.71,2,1952
20230501,1,1,9058,30,12.65,3,3820
20230502,1,1,10046,57,38.37,7,3350
20230503,1,1,6954,36,30.59,3,2946
20230504,1,1,12566,63,29.82,8,5487
20230505,1,1,10070,41,25.11,4,4580
20230506,1,1,9799,44,36.37,4,3806
20230507,1,1,6594,31,14.6,2,2481
20230508,1,1,9060,33,17.19,2,3150
20230509,1,1,9695,35,17.75,2,3624
20230510,1,1,9876,34,13.41,3,3750
20230511,1,1,7680,34,23.06,2,3239
20230512,1,1,11966,73,23.92,7,4137
20230513,1,1,7009,26,11.55,1,2928
