date_key,source_id,campaign_id,impressions,clicks,spend,conversions,video_views,campaign_name,ad_set_name,objective,source_name,channel,date,year,month,month_name,quarter,is_weekend,CPM,CTR,CPC,Conversion_Rate
20230101,1,1,4579,24,9.14,3,1597,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-01,2023,1,Jan,1,True,1.9960690107010266,0.52413190652981,0.38083333333333336,12.5
20230102,1,1,14826,88,46.61,5,5431,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-02,2023,1,Jan,1,False,3.14380142992041,0.5935518683394038,0.5296590909090909,5.681818181818182
20230103,1,1,16318,109,70.3,5,6519,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-03,2023,1,Jan,1,False,4.308125995832823,0.6679740164235813,0.6449541284403669,4.587155963302752
20230104,1,1,9652,36,26.31,3,4536,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-04,2023,1,Jan,1,False,2.725859925404061,0.3729796933278077,0.7308333333333333,8.333333333333332
20230105,1,1,6396,44,38.8,3,2997,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-05,2023,1,Jan,1,False,6.06629143214509,0.6879299562226392,0.8818181818181817,6.8181818181818175
20230106,1,1,10561,68,28.69,7,4315,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-06,2023,1,Jan,1,False,2.7165988069311617,0.6438784206041094,0.4219117647058824,10.294117647058822
20230107,1,1,10479,51,22.05,3,3750,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-07,2023,1,Jan,1,True,2.1042084168336674,0.4866876610363584,0.4323529411764706,5.88235294117647
20230108,1,1,3709,18,6.83,1,1309,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-08,2023,1,Jan,1,True,1.8414667026152602,0.48530601240226473,0.3794444444444445,5.555555555555555
20230109,1,1,10308,71,29.51,6,4450,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-09,2023,1,Jan,1,False,2.8628249902987974,0.6887854093907644,0.41563380281690143,8.450704225352112
20230110,1,1,8627,57,32.29,3,3488,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-10,2023,1,Jan,1,False,3.742900197055755,0.6607163556276805,0.5664912280701754,5.263157894736842
20230111,1,1,11708,68,31.7,5,4858,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-11,2023,1,Jan,1,False,2.707550392893748,0.5807994533652203,0.4661764705882353,7.352941176470589
20230112,1,1,15262,97,48.69,6,5698,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-12,2023,1,Jan,1,False,3.190276503734766,0.6355654566898178,0.5019587628865979,6.185567010309279
20230113,1,1,11023,62,31.25,5,4651,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-13,2023,1,Jan,1,False,2.8349814025219997,0.5624603102603647,0.5040322580645161,8.064516129032258
20230114,1,1,6013,28,18.46,3,2408,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-14,2023,1,Jan,1,True,3.070014967570265,0.46565774155995343,0.6592857142857144,10.714285714285714
20230115,1,1,9082,53,36.44,4,3510,Business-focused zero tolerance,Business-focused zero tolerance_Tier1,Brand Awareness,Amazon Ad Server,Programmatic,2023-01-15,2023,1,Jan,1,True,4.0123320854437345,0.5835719004624532,0.6875471698113207,7.547169811320755
